aircraft_type,name,engine_manufacturer,engine_model
BE30,300 King Air,Pratt & Whitney,PT6A-60A
H269,300C,Lycoming,HIO-360-D1A
BE30,300LW King Air,Pratt & Whitney,PT6A-60A
O1,305A,Continental,O-470-11
O1,305B,Continental,O-470-11
O1,305C,Continental,O-470-11
O1,305E,Continental,O-470-11
O1,305F,Continental,O-470-11
LJ31,31,Garrett,TFE731-2
C310,310,Continental,O-470-B;O-470-M
C310,310A,Continental,O-470-M
C310,310B,Continental,O-470-M
C310,310C,Continental,O-470-D
C310,310D,Continental,O-470-D
C310,310E,Continental,O-470-D
C310,310F,Continental,O-470-D
C310,310G,Continental,O-470-D
C310,310H,Continental,O-470-D
C310,310I,Continental,O-470-U
C310,310J,Continental,O-470-U
C310,310K,Continental,O-470-V;O-470-VU
C310,310L,Continental,O-470-V;O-470-VU
C310,310N,Continental,O-470-V;O-470-VU
C310,310P,Continental,O-470-VO
C310,310Q,Continental,O-470-VO
C310,310R,Continental,O-520-VO;O-520-MB
O1,319,Continental,O-470-11
LJ31,31A,Garrett,TFE731-2;TFE731-2C
C320,320 Skyknight,Continental,O-470-B
C320,320A Skyknight,Continental,O-470-B
C320,320B Skyknight,Continental,O-470-B
C320,320C Skyknight,Continental,O-470-B
C320,320D Executive Skyknight,Continental,O-470-B
C320,320E Executive Skyknight,Continental,O-470-B
C320,320E Executive Skynight,Continental,O-470-B
C320,320F Executive Skyknight,Continental,O-470-B
BE33,33 Debonair,Continental,IO-470-J
S330,330,Rolls Royce,250-C20W
S330,333,Rolls Royce,250-C20W
C335,335,Continental,TSIO-520-EB
C336,336 Skymaster,Continental,IO-360-A
C337,337 Super Skymaster,Continental,IO-360-C
C337,337A Super Skymaster,Continental,IO-360-C
C337,337B Super Skymaster,Continental,IO-360-C
C337,337C Super Skymaster,Continental,IO-360-C
C337,337D Super Skymaster,Continental,IO-360-C
C337,337E Super Skymaster,Continental,IO-360-C
C337,337F Super Skymaster,Continental,IO-360-C
C337,337G Super Skymaster,Continental,IO-360-C
C337,337H Super Skymaster,Continental,IO-360-C
C340,340,Continental,TSIO-520-K
C340,340A,Continental,TSIO-520-NB
LJ35,35,Garrett,TFE731-2-2A
BE35,35 Bonanza,Continental,E-185-1
BE33,35-33 Debonair,Continental,IO-470-J
BE33,35-B33 Debonair,Continental,IO-470-J
BE33,35-C33 Debonair,Continental,IO-470-J
BE33,35-C33A Debonair,Continental,IO-520-D
LJ35,35A,Garrett,TFE731-2-2B
H500,369 HS,Allison,250-C18B
LJ35,36A,Garrett,TFE731-2;TFE731-2A
LJ40,40,Garrett,TFE731-2AR
BE40,400 Beechjet,Williams,FJ44-4A-32
BE40,400A Beechjet,Williams,FJ44-4A-32
C402,401,Continental,TSIO-520-VB
C402,401A,Continental,TSIO-520-VB
C402,401B,Continental,TSIO-520-VB
C402,402,Continental,TSIO-520-VB
C402,402A,Continental,TSIO-520-VB
C402,402B,Continental,TSIO-520-VB
C402,402B Utiliner,Continental,TSIO-520-VB
C402,402C,Continental,TSIO-520-VB;TSIO-520-WB
C404,404 Titan,Continental,GTSIO-520-M
B407,407,Allison,250-C47B
B407,407GX,Allison,250-C47B
B407,407GXP,Rolls Royce,250-C47B/8
LJ40,40XR,Garrett,TFE731-2AR
C411,411,Continental,GTSIO-520
C411,411A,Continental,GTSIO-520
B412,412,Pratt & Whitney Canada,PT6T-3B
B412,412EP,Pratt & Whitney Canada,PT6T-3DF
B412,412EPI,Pratt & Whitney Canada,PT6T-9
B412,412HP,Pratt & Whitney Canada,PT6T-3BG;PT6T-3D
B412,412SP,Pratt & Whitney Canada,PT6T-3BF
C414,414,Continental,TSIO-520-N
C414,414A,Continental,TSIO-520-N
C414,414A Chancellor,Continental,TSIO-520-N
ERCO,415-C Ercoupe,Continental,A65-8
ERCO,415-CD Ercoupe,Continental,C75
