identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,loc_heading,gs_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
IALW,GS 20,GS,TERMINAL,111700,,,,,,216.101,3.00,18,46.096916667,-118.277900000,1193,K1,KALW,20,US
IALW,GS 22,GS,TERMINAL,108700,,,,,,219.401,3.30,18,50.986655556,12.510372222,605,ED,EDAC,22,DE
IALW,ILS 20,ILS-I,TERMINAL,111700,,,,,,216.101,,18,46.082852778,-118.294269444,1193,K1,KALW,20,US
IALW,ILS 22,ILS-I,TERMINAL,108700,,,,,,219.401,,18,50.973244444,12.495177778,605,ED,EDAC,22,DE
IALY,ANTALYA DME-ILS,DME-ILS,TERMINAL,108100,18X,1042000,979000,0,,,,25,36.883388889,30.808916667,207,LT,LTAI,,TR
IALY,GS 36R,GS,TERMINAL,108100,,,,,,006.280,3.00,18,36.883388889,30.808916667,207,LT,LTAI,36R,TR
IALY,ILS 36R,ILS-II,TERMINAL,108100,,,,,,6.280,,18,36.914000000,30.811777778,207,LT,LTAI,36R,TR
IALZ,ALMAZA AB DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,30.087444444,31.360944444,336,HE,HEAZ,,EG
IALZ,GS 36,GS,TERMINAL,109300,,,,,,000.984,3.90,18,30.087444444,31.360944444,336,HE,HEAZ,36,EG
IALZ,ILS 36,ILS-I,TERMINAL,109300,,,,,,0.984,,18,30.104291667,31.360011111,336,HE,HEAZ,36,EG
IAM,ALMERIA DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0.200,,,,25,36.846083333,-2.356583333,79,LE,LEAM,,ES
IAM,AMAMI DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,28.424852778,129.710802778,35,RJ,RJKA,,JP
IAM,AMARI DME-ILS,DME-ILS,TERMINAL,108700,24X,1048000,985000,0,,,,25,59.257361111,24.185722222,100,EE,EEEI,,EE
IAM,GS 03,GS,TERMINAL,109300,,,,,,025.880,3.00,18,28.424780556,129.710677778,27,RJ,RJKA,03,JP
IAM,GS 06,GS,TERMINAL,108700,,,,,,070.635,3.00,18,59.257361111,24.185722222,100,EE,EEEI,06,EE
IAM,GS 11,GS,TERMINAL,110500,,,,,,124.390,3.00,18,55.614722222,49.253555556,410,UW,UWKD,11,RU
IAM,GS 12,GS,TERMINAL,109500,,,,,,107.908,3.00,18,46.484213889,-84.518030556,611,CY,CYAM,12,CA
IAM,GS 15,GS,TERMINAL,110700,,,,,,158.839,3.00,18,-27.624444444,152.708333333,102,YB,YAMB,15,AU
IAM,GS 25,GS,TERMINAL,109100,,,,,,269.641,3.00,18,61.345500000,73.422888889,200,US,USRR,25,RU
IAM,GS 25,GS,TERMINAL,109900,,,,,,252.961,3.00,18,36.846083333,-2.356583333,79,LE,LEAM,25,ES
IAM,ILS 03,ILS-I,TERMINAL,109300,,,,,,25.880,,18,28.440694444,129.718072222,27,RJ,RJKA,03,JP
IAM,ILS 06,ILS-I,TERMINAL,108700,,,,,,70.635,,18,59.264555556,24.232333333,100,EE,EEEI,06,EE
IAM,ILS 11,ILS-II,TERMINAL,110500,,,,,,124.390,,18,55.595916667,49.305361111,410,UW,UWKD,11,RU
IAM,ILS 12,ILS-I,TERMINAL,109500,,,,,,107.908,,18,46.479980556,-84.493822222,611,CY,CYAM,12,CA
IAM,ILS 15,ILS-I,TERMINAL,110700,,,,,,158.839,,18,-27.650047222,152.717647222,102,YB,YAMB,15,AU
IAM,ILS 25,ILS-I,TERMINAL,109100,,,,,,269.641,,18,61.343750000,73.365750000,200,US,USRR,25,RU
IAM,ILS 25,ILS-I,TERMINAL,109900,,,,,,252.961,,18,36.839055556,-2.390000000,79,LE,LEAM,25,ES
IAM,KAZAN DME-ILS,DME-ILS,TERMINAL,110500,42X,1066000,1003000,0,,,,25,55.614722222,49.253555556,410,UW,UWKD,,RU
IAM,SURGUT DME-ILS,DME-ILS,TERMINAL,109100,28X,1052000,989000,0.200,,,,25,61.345500000,73.424333333,200,US,USRR,,RU
IAMA,GS 04,GS,TERMINAL,110300,,,,,,045.862,3.00,18,35.206236111,-101.729122222,3598,K4,KAMA,04,US
IAMA,HUSBAND AMARILLO INTL DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,35.234161111,-101.694666667,3614,K4,KAMA,,US
IAMA,ILS 04,ILS-I,TERMINAL,110300,,,,,,45.862,,18,35.234808333,-101.695258333,3598,K4,KAMA,04,US
IAMM,GS 11,GS,TERMINAL,111100,,,,,,111.026,3.00,18,16.918130556,-89.876797222,394,MG,MGMM,11,GT
IAMM,ILS 11,ILS-I,TERMINAL,111100,,,,,,111.026,,18,16.908466667,-89.851830556,394,MG,MGMM,11,GT
IAMM,MUNDO MAYA INTL DME-ILS,DME-ILS,TERMINAL,111100,48X,1072000,1009000,0,,,,25,16.918130556,-89.876797222,394,MG,MGMM,,GT
IAMN,GS 04,GS,TERMINAL,111100,,,,,,044.987,3.00,18,-3.717358333,128.084100000,31,WA,WAPP,04,ID
IAMN,GS 24,GS,TERMINAL,109500,,,,,,244.053,3.00,18,31.977036111,36.004883333,2507,OJ,OJAM,24,JO
IAMN,ILS 04,ILS-I,TERMINAL,111100,,,,,,44.987,,18,-3.701511111,128.098422222,31,WA,WAPP,04,ID
IAMN,ILS 24,ILS-I,TERMINAL,109500,,,,,,244.053,,18,31.964836111,35.972558333,2507,OJ,OJAM,24,JO
IAMN,MARKA INTL DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,31.977036111,36.004883333,2507,OJ,OJAM,,JO
IAMN,PATTIMURA DME-ILS,DME-ILS,TERMINAL,111100,48X,1072000,1009000,0,,,,25,-3.717358333,128.084100000,31,WA,WAPP,,ID
IAMP,GS 01L,GS,TERMINAL,108900,,,,,,001.719,3.00,18,27.966177778,-82.543497222,8,K7,KTPA,01L,US
IAMP,ILS 01L,ILS-III,TERMINAL,108900,,,,,,1.719,,18,27.995775000,-82.541250000,8,K7,KTPA,01L,US
IAMP,TAMPA INTL DME-ILS,DME-ILS,TERMINAL,108900,26X,1050000,987000,0,,,,25,27.995388889,-82.540458333,20,K7,KTPA,,US
IAMR,GS 34,GS,TERMINAL,109500,,,,,,337.664,3.00,18,31.699219444,74.803736111,772,VI,VIAR,34,IN
IAMR,ILS 34,ILS-III,TERMINAL,109500,,,,,,337.664,,18,31.729063889,74.787883333,772,VI,VIAR,34,IN
IAMR,SRI GURU RAM DASS JEE INT DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,31.699225000,74.803697222,772,VI,VIAR,,IN
IAMW,GS 24,GS,TERMINAL,110100,,,,,,239.332,3.00,18,47.992005556,10.250661111,2052,ED,EDJA,24,DE
IAMW,ILS 24,ILS-I,TERMINAL,110100,,,,,,239.332,,18,47.981722222,10.221611111,2052,ED,EDJA,24,DE
IAMW,MEMMINGEN/ALLGAU DME-ILS,DME-ILS,TERMINAL,110100,38X,1062000,999000,0,,,,25,47.992047222,10.250808333,2064,ED,EDJA,,DE
IAN,ABU DHABI INTL DME-ILS,DME-ILS,TERMINAL,108750,24Y,1048000,1111000,0,,,,25,24.445022222,54.668444444,125,OM,OMAA,,AE
IAN,GS 04,GS,TERMINAL,109100,,,,,,042.191,3.00,18,44.994861111,37.340583333,176,UR,URKA,04,RU
IAN,GS 04,GS,TERMINAL,110500,,,,,,045.606,3.00,18,40.720483333,72.280944444,1543,UT,UTFA,04,UZ
IAN,GS 19,GS,TERMINAL,110100,,,,,,192.712,3.00,18,55.978833333,21.098250000,32,EY,EYPA,19,LT
IAN,GS 24R,GS,TERMINAL,111100,,,,,,218.916,2.60,18,-16.217122222,-48.955869444,3660,SB,SBAN,24R,BR
IAN,GS 31R,GS,TERMINAL,108750,,,,,,307.948,3.00,18,24.445022222,54.668444444,125,OM,OMAA,31R,AE
IAN,ILS 04,ILS-I,TERMINAL,109100,,,,,,42.191,,18,45.018055556,37.367722222,176,UR,URKA,04,RU
IAN,ILS 04,ILS-I,TERMINAL,110500,,,,,,45.606,,18,40.740536111,72.310777778,1543,UT,UTFA,04,UZ
IAN,ILS 19,ILS-I,TERMINAL,110100,,,,,,192.712,,18,55.959944444,21.088500000,32,EY,EYPA,19,LT
IAN,ILS 24R,ILS-I,TERMINAL,111100,,,,,,218.932,,18,-16.241744444,-48.976041667,3660,SB,SBAN,24R,BR
IAN,ILS 31R,ILS-III,TERMINAL,108750,,,,,,307.948,,18,24.466850000,54.635758333,125,OM,OMAA,31R,AE
IAN,PALANGA INTL DME-ILS,DME-ILS,TERMINAL,110100,38X,1062000,999000,0,,,,25,55.978833333,21.098250000,100,EY,EYPA,,LT
IAN,VITYAZEVO DME-ILS,DME-ILS,TERMINAL,109100,28X,1052000,989000,0,,,,25,44.994861111,37.340555556,176,UR,URKA,,RU
IANB,GS 05,GS,TERMINAL,111500,,,,,,048.331,3.00,18,33.583841667,-85.865538889,591,K7,KANB,05,US
IANB,ILS 05,ILS-I,TERMINAL,111500,,,,,,48.331,,18,33.596461111,-85.846933333,591,K7,KANB,05,US
IANC,GS 07R,GS,TERMINAL,111300,,,,,,089.913,3.00,18,61.168938889,-150.036794444,123,PA,PANC,07R,US
IANC,GS 26,GS,TERMINAL,110900,,,,,,261.452,2.50,18,39.221947222,22.806197222,19,LG,LGBL,26,GR
IANC,ILS 07R,ILS-III,TERMINAL,111300,,,,,,89.913,,18,61.167886111,-149.965416667,123,PA,PANC,07R,US
IANC,ILS 26,ILS-I,TERMINAL,110900,,,,,,261.452,,18,39.217063889,22.773697222,19,LG,LGBL,26,GR
IANC,NEA ANCHIALOS DME-ILS,DME-ILS,TERMINAL,110900,46X,1070000,1007000,0,,,,25,39.222122222,22.807127778,41,LG,LGBL,,GR
IANC,STEVENS ANCHORAGE INTL DME-ILS,DME-ILS,TERMINAL,111300,50X,1074000,1011000,0,,,,25,61.167227778,-149.966222222,112,PA,PANC,,US
IAND,ANDAHUAYLAS DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,-13.703844444,-73.349036111,11699,SP,SPHY,,PE
IAND,GS 05,GS,TERMINAL,111900,,,,,,045.763,3.00,18,34.489916667,-82.713022222,748,K7,KAND,05,US
IAND,GS 06L,GS,TERMINAL,109300,,,,,,065.756,3.00,18,13.582686111,144.917872222,529,PG,PGUA,06L,GU
IAND,GS 21,GS,TERMINAL,109700,,,,,,211.847,2.90,18,-13.703844444,-73.349036111,11699,SP,SPHY,21,PE
IAND,ILS 05,ILS-I,TERMINAL,111900,,,,,,45.763,,18,34.501975000,-82.699247222,748,K7,KAND,05,US
IAND,ILS 06L,ILS-I,TERMINAL,109300,,,,,,65.756,,18,13.593455556,144.945563889,529,PG,PGUA,06L,GU
IAND,ILS 21,ILS-I,TERMINAL,109700,,,,,,211.847,,18,-13.720747222,-73.359022222,11699,SP,SPHY,21,PE
IANE,ANOKA CO-BLAINE DME-ILS,DME-ILS,TERMINAL,111150,48Y,1072000,1135000,0,,,,25,45.144097222,-93.223994444,915,K3,KANE,,US
IANE,GS 27,GS,TERMINAL,111150,,,,,,270.717,3.00,18,45.145833333,-93.204286111,907,K3,KANE,27,US
IANE,ILS 27,ILS-I,TERMINAL,111150,,,,,,270.717,,18,45.144852778,-93.223969444,907,K3,KANE,27,US
IANI,ANIAK DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,61.576950000,-159.524794444,109,PA,PANI,,US
IANI,GS 11,GS,TERMINAL,109700,,,,,,121.244,3.00,18,61.583266667,-159.554347222,92,PA,PANI,11,US
IANI,ILS 11,ILS-I,TERMINAL,109700,,,,,,121.244,,18,61.576580556,-159.525702778,92,PA,PANI,11,US
IANK,ESENBOGA DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,40.116694444,32.984138889,3150,LT,LTAC,,TR
IANK,GS 03R,GS,TERMINAL,110300,,,,,,036.084,3.00,18,40.116694444,32.984138889,3150,LT,LTAC,03R,TR
IANK,ILS 03R,ILS-III,TERMINAL,110300,,,,,,36.084,,18,40.143555556,33.011305556,3150,LT,LTAC,03R,TR
IANT,GS 13R,GS,TERMINAL,110900,,,,,,131.760,3.00,18,29.541386111,-98.481894444,801,K4,KSAT,13R,US
IANT,ILS 13R,ILS-II,TERMINAL,110900,,,,,,131.760,,18,29.525363889,-98.463161111,801,K4,KSAT,13R,US
IANT,SAN ANTONIO INTL DME-ILS,DME-ILS,TERMINAL,110900,46X,1070000,1007000,0,,,,25,29.524752778,-98.463875000,791,K4,KSAT,,US
IAOD,GS 08L,GS,TERMINAL,109700,,,,,,089.979,3.00,18,34.055891667,-117.616638889,936,K2,KONT,08L,US
IAOD,ILS 08L,ILS-I,TERMINAL,109700,,,,,,89.979,,18,34.056894444,-117.579186111,936,K2,KONT,08L,US
