identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,loc_heading,gs_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
IMOY,ILS 16L,ILS-III,TERMINAL,109500,,,,,,174.979,,18,40.771808333,-111.972797222,4230,K2,KSLC,16L,US
IMOY,SALT LAKE CITY INTL DME-ILS,DME-ILS,TERMINAL,109500,32X,1056000,993000,0,,,,25,40.771866667,-111.971702778,4240,K2,KSLC,,US
IMP,GS 11,GS,TERMINAL,109100,,,,,,085.941,3.00,18,47.622861111,-52.767444444,462,CY,CYYT,11,CA
IMP,GS 14,GS,TERMINAL,109300,,,,,,130.495,3.00,18,33.831861111,132.691075000,25,RJ,RJOM,14,JP
IMP,GS 15,GS,TERMINAL,108300,,,,,,163.304,2.67,18,60.715750000,77.658888889,164,UN,UNSS,15,RU
IMP,GS 28,GS,TERMINAL,111900,,,,,,285.310,3.00,18,-51.824255556,-58.443272222,218,SF,EGYP,28,FK
IMP,GS 34,GS,TERMINAL,109900,,,,,,002.899,3.00,18,-41.331916667,174.805611111,41,NZ,NZWN,34,NZ
IMP,ILS 11,ILS-III,TERMINAL,109100,,,,,,85.941,,18,47.625400000,-52.734541667,462,CY,CYYT,11,CA
IMP,ILS 14,ILS-I,TERMINAL,109300,,,,,,130.495,,18,33.818580556,132.711780556,25,RJ,RJOM,14,JP
IMP,ILS 15,ILS-I,TERMINAL,108300,,,,,,163.304,,18,60.698388889,77.667222222,164,UN,UNSS,15,RU
IMP,ILS 28,ILS-I,TERMINAL,111900,,,,,,285.310,,18,-51.816566667,-58.482050000,218,SF,EGYP,28,FK
IMP,ILS 34,ILS-I,TERMINAL,109900,,,,,,2.899,,18,-41.317194444,174.807555556,41,NZ,NZWN,34,NZ
IMP,MATSUYAMA DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,33.831736111,132.691086111,37,RJ,RJOM,,JP
IMP,MOUNT PLEASANT DME-ILS,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0.200,,,,25,-51.824227778,-58.443252778,218,SF,EGYP,,FK
IMP,STREZHEVOY DME-ILS,DME-ILS,TERMINAL,108300,20X,1044000,981000,0,,,,25,60.715750000,77.658888889,164,UN,UNSS,,RU
IMP,WELLINGTON INTL DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,-41.331916667,174.805638889,41,NZ,NZWN,,NZ
IMPV,GS 17,GS,TERMINAL,108700,,,,,,151.755,3.00,18,44.205200000,-72.565505556,1103,K6,KMPV,17,US
IMPV,ILS 17,ILS-I,TERMINAL,108700,,,,,,151.755,,18,44.194202778,-72.558480556,1103,K6,KMPV,17,US
IMPV,KNAPP STATE DME-ILS,DME-ILS,TERMINAL,108700,24X,1048000,985000,0,,,,25,44.194161111,-72.557605556,1158,K6,KMPV,,US
IMQ,GS 24L,GS,TERMINAL,110500,,,,,,222.606,3.00,18,45.474283333,-73.717472222,116,CY,CYUL,24L,CA
IMQ,ILS 24L,ILS-I,TERMINAL,110500,,,,,,222.606,,18,45.455727778,-73.743919444,116,CY,CYUL,24L,CA
IMQB,ILS 27,LOC,TERMINAL,110300,,,,,,270.086,,18,40.519702778,-90.664688889,0,K5,KMQB,27,US
IMQJ,GS 25,GS,TERMINAL,108700,,,,,,249.949,3.00,18,39.840247222,-85.893952778,854,K5,KMQJ,25,US
IMQJ,ILS 25,ILS-I,TERMINAL,108700,,,,,,249.949,,18,39.835636111,-85.914561111,854,K5,KMQJ,25,US
IMQK,GS 14,GS,TERMINAL,110100,,,,,,135.077,3.00,18,41.271813889,-80.688872222,1109,K5,KYNG,14,US
IMQK,ILS 14,ILS-I,TERMINAL,110100,,,,,,135.077,,18,41.253425000,-80.666527778,1109,K5,KYNG,14,US
IMQS,GS 29,GS,TERMINAL,108500,,,,,,281.685,3.00,18,39.977297222,-75.860275000,653,K6,KMQS,29,US
IMQS,ILS 29,ILS-I,TERMINAL,108500,,,,,,281.685,,18,39.980916667,-75.877819444,653,K6,KMQS,29,US
IMQU,GS 19,GS,TERMINAL,111700,,,,,,187.460,3.00,18,37.797922222,-81.124058333,2450,K6,KBKW,19,US
IMQU,ILS 19,ILS-I,TERMINAL,111700,,,,,,187.460,,18,37.778447222,-81.126377778,2450,K6,KBKW,19,US
IMQY,GS 32,GS,TERMINAL,111100,,,,,,319.270,2.83,18,36.002841667,-86.514202778,512,K7,KMQY,32,US
IMQY,ILS 32,ILS-I,TERMINAL,111100,,,,,,319.270,,18,36.019966667,-86.530986111,512,K7,KMQY,32,US
IMR,ADOLFO SUAREZ MADRID-BARA DME-ILS,DME-ILS,TERMINAL,110700,44X,1068000,1005000,0.200,,,,25,40.519972222,-3.573833333,1988,LE,LEMD,,ES
IMR,AOMORI DME-ILS,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0,,,,25,40.738716667,140.700519444,672,RJ,RJSA,,JP
IMR,GS 02,GS,TERMINAL,110100,,,,,,024.847,3.00,18,4.313527778,113.984111111,105,WB,WBGR,02,MY
IMR,GS 02,GS,TERMINAL,110300,,,,,,032.107,3.00,18,54.262694444,48.215388889,449,UW,UWLL,02,RU
IMR,GS 06C,GS,TERMINAL,108100,,,,,,075.079,2.98,18,55.969194444,37.392083333,630,UU,UUEE,06C,RU
IMR,GS 18R,GS,TERMINAL,110700,,,,,,179.748,3.00,18,40.519944444,-3.573361111,1988,LE,LEMD,18R,ES
IMR,GS 24,GS,TERMINAL,110750,,,,,,235.381,3.00,18,52.654833333,0.562441667,70,EG,EGYM,24,GB
IMR,GS 24,GS,TERMINAL,111900,,,,,,231.811,3.00,18,40.738788889,140.700444444,676,RJ,RJSA,24,JP
IMR,GS 26R,GS,TERMINAL,110700,,,,,,264.998,3.00,18,23.609777778,58.292141667,14,OO,OOMS,26R,OM
IMR,GS 36R,GS,TERMINAL,109700,,,,,,358.488,3.00,18,37.610555556,61.899166667,728,UT,UTAM,36R,TM
IMR,ILS 02,ILS-I,TERMINAL,110100,,,,,,24.847,,18,4.335333333,113.993055556,105,WB,WBGR,02,MY
IMR,ILS 02,ILS-I,TERMINAL,110300,,,,,,32.107,,18,54.289833333,48.246722222,449,UW,UWLL,02,RU
IMR,ILS 06C,ILS-I,TERMINAL,108100,,,,,,75.079,,18,55.979416667,37.451138889,630,UU,UUEE,06C,RU
IMR,ILS 18R,ILS-III,TERMINAL,110700,,,,,,179.748,,18,40.490138889,-3.574611111,1988,LE,LEMD,18R,ES
IMR,ILS 24,ILS-I,TERMINAL,110750,,,,,,235.381,,18,52.637886111,0.525605556,70,EG,EGYM,24,GB
IMR,ILS 24,ILS-III,TERMINAL,111900,,,,,,231.811,,18,40.723663889,140.672488889,676,RJ,RJSA,24,JP
IMR,ILS 26R,ILS-II,TERMINAL,110700,,,,,,264.998,,18,23.605322222,58.250786111,14,OO,OOMS,26R,OM
IMR,ILS 36R,ILS-I,TERMINAL,109700,,,,,,358.488,,18,37.635555556,61.897222222,728,UT,UTAM,36R,TM
IMR,IZMIR VOR/DME,VOR-DME,ENROUTE,113700,84X,1108000,1171000,0,3.300,,,130,38.317444444,27.007222222,3304,LT,,,TR
IMR,MARHAM DME-ILS,DME-ILS,TERMINAL,110750,44Y,1068000,1131000,0.200,,,,25,52.654805556,0.562475000,70,EG,EGYM,,GB
IMR,MARY DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,37.610555556,61.899166667,728,UT,UTAM,,TM
IMR,MIRI DME-ILS,DME-ILS,TERMINAL,110100,38X,1062000,999000,0,,,,25,4.313527778,113.984111111,105,WB,WBGR,,MY
IMR,MUSCAT DME-ILS,DME-ILS,TERMINAL,110700,44X,1068000,1005000,0,,,,25,23.609777778,58.292141667,14,OO,OOMS,,OM
IMRD,GS 03,GS,TERMINAL,108900,,,,,,037.216,3.00,18,37.215888889,40.626055556,1653,LT,LTCR,03,TR
IMRD,ILS 03,ILS-I,TERMINAL,108900,,,,,,37.216,,18,37.234305556,40.642138889,1653,LT,LTCR,03,TR
IMRD,MARDIN DME-ILS,DME-ILS,TERMINAL,108900,26X,1050000,987000,0,,,,25,37.215888889,40.626055556,1653,LT,LTCR,,TR
IMRF,GS 20,GS,TERMINAL,109700,,,,,,199.762,3.00,18,37.187972222,-5.611583333,266,LE,LEMO,20,ES
IMRF,ILS 20,ILS-I,TERMINAL,109700,,,,,,199.762,,18,37.156944444,-5.624111111,266,LE,LEMO,20,ES
IMRF,MORON AB DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,37.187972222,-5.611583333,266,LE,LEMO,,ES
IMRI,GS 05R,GS,TERMINAL,110500,,,,,,054.485,3.00,18,40.824388889,35.510277778,1784,LT,LTAP,05R,TR
IMRI,ILS 05R,ILS-I,TERMINAL,110500,,,,,,54.485,,18,40.840972222,35.543472222,1784,LT,LTAP,05R,TR
IMRI,MERZIFON DME-ILS,DME-ILS,TERMINAL,110500,42X,1066000,1003000,0,,,,25,40.824388889,35.510277778,1778,LT,LTAP,,TR
IMRN,ILS 03,LOC,TERMINAL,111100,,,,,,23.517,,18,35.827991667,-81.607247222,0,K7,KMRN,03,US
IMRY,GS 10R,GS,TERMINAL,110700,,,,,,112.848,3.00,18,36.590586111,-121.852697222,164,K2,KMRY,10R,US
IMRY,ILS 10R,ILS-I,TERMINAL,110700,,,,,,4.848,,18,36.582758333,-121.831841667,164,K2,KMRY,10R,US
IMRY,MONTEREY REGL DME-ILS,DME-ILS,TERMINAL,110700,44X,1068000,1005000,0,,,,25,36.583694444,-121.832266667,267,K2,KMRY,,US
IMRZ,GS 10,GS,TERMINAL,109900,,,,,,087.430,3.00,18,43.107227778,-76.122263889,423,K6,KSYR,10,US
IMRZ,ILS 10,ILS-I,TERMINAL,109900,,,,,,87.430,,18,43.109433333,-76.088613889,423,K6,KSYR,10,US
IMRZ,SYRACUSE HANCOCK INTL DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,43.108686111,-76.089144444,391,K6,KSYR,,US
IMS,GS 07,GS,TERMINAL,109700,,,,,,053.305,3.40,18,-26.535277778,31.300000000,2080,FD,FDMS,07,SZ
IMS,GS 07,GS,TERMINAL,110500,,,,,,075.008,3.00,18,15.667783333,39.357177778,192,HH,HHMS,07,ER
IMS,GS 16,GS,TERMINAL,109700,,,,,,171.595,3.00,18,-37.656694444,144.833750000,475,YM,YMML,16,AU
IMS,GS 23,GS,TERMINAL,109700,,,,,,224.846,3.50,18,24.404536111,98.539752778,2890,ZP,ZPMS,23,CN
IMS,ILS 07,ILS-I,TERMINAL,109700,,,,,,53.305,,18,-26.520555556,31.320000000,2080,FD,FDMS,07,SZ
IMS,ILS 07,ILS-I,TERMINAL,110500,,,,,,75.008,,18,15.674488889,39.387544444,192,HH,HHMS,07,ER
IMS,ILS 16,ILS-III,TERMINAL,109700,,,,,,171.595,,18,-37.688638889,144.841527778,475,YM,YMML,16,AU
IMS,ILS 23,ILS-I,TERMINAL,109700,,,,,,224.846,,18,24.388633333,98.520922222,2890,ZP,ZPMS,23,CN
IMS,MANGSHI DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,24.404536111,98.539752778,2890,ZP,ZPMS,,CN
IMS,MASSAWA INTL DME-ILS,DME-ILS,TERMINAL,110500,42X,1066000,1003000,0.200,,,,25,15.667783333,39.357177778,192,HH,HHMS,,ER
IMS,MATSAPHA INTL DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,-26.535277778,31.300000000,2076,FD,FDMS,,SZ
IMS,MELBOURNE INTL DME-ILS,DME-ILS,TERMINAL,109700,34X,1058000,995000,0,,,,25,-37.656694444,144.833666667,434,YM,YMML,,AU
IMSD,GS 31R,GS,TERMINAL,109900,,,,,,313.744,3.00,18,36.225388889,59.653333333,3261,OI,OIMM,31R,IR
IMSD,ILS 31R,ILS-I,TERMINAL,109900,,,,,,313.744,,18,36.250111111,59.623305556,3261,OI,OIMM,31R,IR
IMSD,MASHHAD DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,36.225388889,59.653333333,3261,OI,OIMM,,IR
IMSE,GS 08R,GS,TERMINAL,109300,,,,,,083.411,3.00,18,48.339405556,11.755788889,1485,ED,EDDM,08R,DE
IMSE,ILS 08R,ILS-III,TERMINAL,109300,,,,,,83.411,,18,48.345825000,11.818008333,1485,ED,EDDM,08R,DE
IMSE,MUNICH DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,48.339402778,11.755788889,1491,ED,EDDM,,DE
IMSL,GS 17L,GS,TERMINAL,110750,,,,,,169.069,3.20,18,45.639472222,8.732972222,792,LI,LIMC,17L,IT
IMSL,GS 30,GS,TERMINAL,109700,,,,,,294.207,3.00,18,34.743761111,-87.599544444,548,K7,KMSL,30,US
IMSL,ILS 17L,ILS-I,TERMINAL,110750,,,,,,169.069,,18,45.613111111,8.738222222,792,LI,LIMC,17L,IT
IMSL,ILS 30,ILS-I,TERMINAL,109700,,,,,,294.207,,18,34.749955556,-87.619580556,548,K7,KMSL,30,US
IMSL,MALPENSA DME-ILS,DME-ILS,TERMINAL,110750,44Y,1068000,1131000,0,,,,25,45.639500000,8.733166667,758,LI,LIMC,,IT
IMSN,DANE CO REGL-TRUAX DME-ILS,DME-ILS,TERMINAL,110100,38X,1062000,999000,0,,,,25,43.121597222,-89.340805556,855,K5,KMSN,,US
IMSN,GS 36,GS,TERMINAL,110100,,,,,,001.932,3.00,18,43.130283333,-89.343394444,857,K5,KMSN,36,US
IMSN,ILS 36,ILS-III,TERMINAL,110100,,,,,,1.932,,18,43.152155556,-89.340883333,857,K5,KMSN,36,US
IMSO,GS 12,GS,TERMINAL,109300,,,,,,130.563,3.00,18,46.923916667,-114.102491667,3191,K1,KMSO,12,US
IMSO,ILS 12,ILS-I,TERMINAL,109300,,,,,,130.563,,18,46.906152778,-114.074580556,3191,K1,KMSO,12,US
IMSP,GS 30L,GS,TERMINAL,110300,,,,,,301.443,3.00,18,44.874166667,-93.205613889,812,K3,KMSP,30L,US
IMSP,ILS 30L,ILS-II,TERMINAL,110300,,,,,,301.443,,18,44.889572222,-93.238247222,812,K3,KMSP,30L,US
IMSP,MINNEAPOLIS-ST PAUL INTL DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,44.874144444,-93.205708333,825,K3,KMSP,,US
IMSS,GS 05,GS,TERMINAL,108700,,,,,,031.142,3.00,18,44.933061111,-74.848613889,201,K6,KMSS,05,US
IMSS,ILS 05,ILS-I,TERMINAL,108700,,,,,,31.142,,18,44.945563889,-74.836138889,201,K6,KMSS,05,US
IMSV,GS 15,GS,TERMINAL,109100,,,,,,143.045,3.00,18,41.705680556,-74.800455556,1401,K6,KMSV,15,US
IMSV,ILS 15,ILS-I,TERMINAL,109100,,,,,,143.045,,18,41.694077778,-74.787391667,1401,K6,KMSV,15,US
IMSW,GS 26L,GS,TERMINAL,108300,,,,,,263.411,3.00,18,48.342850000,11.800447222,1470,ED,EDDM,26L,DE
IMSW,ILS 26L,ILS-III,TERMINAL,108300,,,,,,263.411,,18,48.339627778,11.737516667,1470,ED,EDDM,26L,DE
IMSW,MUNICH DME-ILS,DME-ILS,TERMINAL,108300,20X,1044000,981000,0,,,,25,48.342855556,11.800444444,1472,ED,EDDM,,DE
IMSY,ARMSTRONG NEW ORLEANS INT DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,29.988113889,-90.248811111,12,K4,KMSY,,US
IMSY,GS 11,GS,TERMINAL,109900,,,,,,105.561,2.80,18,29.996838889,-90.277569444,-3,K4,KMSY,11,US
IMSY,ILS 11,ILS-III,TERMINAL,109900,,,,,,105.561,,18,29.988700000,-90.248847222,-3,K4,KMSY,11,US
IMT,GS 36,GS,TERMINAL,110300,,,,,,003.335,3.00,18,30.194177778,71.419769444,460,OP,OPMT,36,PK
IMT,ILS 36,ILS-I,TERMINAL,110300,,,,,,3.335,,18,30.223047222,71.420450000,460,OP,OPMT,36,PK
IMT,IRON MOUNTAIN VOR/DME,VOR-DME,ENROUTE,111200,49X,1073000,1010000,0,-2.000,,,40,45.816044444,-88.112141667,1129,K5,,,US
IMT,MULTAN INTL DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,30.194177778,71.419769444,460,OP,OPMT,,PK
IMTA,DEL CARIBE INTL GEN SANTI DME-ILS,DME-ILS,TERMINAL,110100,38X,1062000,999000,0,,,,125,10.915638889,-63.951888889,33,SV,SVMG,,VE
IMTA,GS 09,GS,TERMINAL,110100,,,,,,078.289,3.20,18,10.909277778,-63.977611111,118,SV,SVMG,09,VE
IMTA,ILS 09,ILS-I,TERMINAL,110100,,,,,,78.289,,18,10.915638889,-63.951888889,118,SV,SVMG,09,VE
IMTB,ILS 28L,LOC,TERMINAL,110700,,,,,,293.053,,18,36.591591667,-121.857947222,0,K2,KMRY,28L,US
IMTB,MONTEREY REGL DME-ILS,DME-ILS,TERMINAL,110700,44X,1068000,1005000,0,,,,25,36.583694444,-121.832266667,267,K2,KMRY,,US
IMTC,GS 19,GS,TERMINAL,110100,,,,,,181.466,3.00,18,42.623383333,-82.838100000,579,K5,KMTC,19,US
IMTC,ILS 19,ILS-I,TERMINAL,110100,,,,,,181.466,,18,42.596336111,-82.837522222,579,K5,KMTC,19,US
IMTJ,GS 17,GS,TERMINAL,111300,,,,,,179.823,3.00,18,38.527186111,-107.891419444,5693,K2,KMTJ,17,US
IMTJ,ILS 17,ILS-I,TERMINAL,111300,,,,,,179.823,,18,38.499561111,-107.892616667,5693,K2,KMTJ,17,US
IMTN,GS 33,GS,TERMINAL,110700,,,,,,315.295,3.00,18,39.321330556,-76.406380556,8,K6,KMTN,33,US
IMTN,ILS 33,ILS-I,TERMINAL,110700,,,,,,315.295,,18,39.335511111,-76.426375000,8,K6,KMTN,33,US
IMTN,MARTIN STATE DME-ILS,DME-ILS,TERMINAL,110700,44X,1068000,1005000,0,,,,25,39.321544444,-76.406988889,21,K6,KMTN,,US
IMTO,GS 29,GS,TERMINAL,111100,,,,,,293.005,3.00,18,39.474327778,-88.272158333,710,K5,KMTO,29,US
IMTO,ILS 29,ILS-I,TERMINAL,111100,,,,,,293.005,,18,39.482330556,-88.292944444,710,K5,KMTO,29,US
IMTR,GS 32,GS,TERMINAL,110900,,,,,,317.952,3.00,18,8.818055556,-75.819722222,40,SK,SKMR,32,CO
IMTR,ILS 32,ILS-I,TERMINAL,110900,,,,,,317.952,,18,8.831944444,-75.833333333,40,SK,SKMR,32,CO
IMTR,MONTERIA DME-ILS,DME-ILS,TERMINAL,110900,46X,1070000,1007000,0,,,,25,8.818055556,-75.819722222,40,SK,SKMR,,CO
IMTW,GS 17,GS,TERMINAL,111300,,,,,,170.014,3.00,18,44.132263889,-87.681936111,645,K5,KMTW,17,US
IMTW,ILS 17,ILS-I,TERMINAL,111300,,,,,,170.014,,18,44.117908333,-87.679769444,645,K5,KMTW,17,US
IMTY,GEN MARIANO ESCOBEDO INTL DME-ILS,DME-ILS,TERMINAL,111100,48X,1072000,1009000,0,,,,25,25.772788889,-100.093661111,1269,MM,MMMY,,MX
IMTY,GS 29,GS,TERMINAL,111100,,,,,,301.410,3.00,18,25.772788889,-100.093661111,1270,MM,MMMY,29,MX
IMTY,ILS 29,ILS-I,TERMINAL,111100,,,,,,301.410,,18,25.784466667,-100.117716667,1270,MM,MMMY,29,MX
IMU,INDRAMAYU VOR/DME,VOR-DME,ENROUTE,116400,111X,1135000,1198000,0,0,,,130,-6.304202778,108.338994444,40,WI,,,ID
IMUK,GS 16,GS,TERMINAL,108900,,,,,,167.879,2.50,18,32.863466667,-106.108555556,4078,K2,KHMN,16,US
IMUK,ILS 16,ILS-I,TERMINAL,108900,,,,,,167.879,,18,32.830100000,-106.098361111,4078,K2,KHMN,16,US
IMUN,GS 01,GS,TERMINAL,111900,,,,,,359.674,3.00,18,34.981472222,126.381666667,32,RK,RKJB,01,KR
IMUN,ILS 01,ILS-I,TERMINAL,111900,,,,,,359.674,,18,35.006416667,126.382722222,32,RK,RKJB,01,KR
IMUN,MUAN INTL DME-ILS,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0,,,,25,34.981444444,126.381611111,0,RK,RKJB,,KR
IMUO,GS 12,GS,TERMINAL,110300,,,,,,135.185,2.50,18,43.053502778,-115.888602778,2983,K1,KMUO,12,US
IMUO,ILS 12,ILS-I,TERMINAL,110300,,,,,,135.185,,18,43.026636111,-115.849369444,2983,K1,KMUO,12,US
IMUS,GS 29R,GS,TERMINAL,108500,,,,,,296.372,3.40,18,38.742944444,41.676861111,4157,LT,LTCK,29R,TR
IMUS,ILS 29R,ILS-I,TERMINAL,108500,,,,,,296.372,,18,38.756888889,41.637638889,4157,LT,LTCK,29R,TR
IMUS,SULTAN ALPARSLAN DME-ILS,DME-ILS,TERMINAL,108500,22X,1046000,983000,0,,,,25,38.742944444,41.676861111,4216,LT,LTCK,,TR
IMV,GS 28,GS,TERMINAL,108700,,,,,,290.845,2.70,18,52.525305556,31.031166667,464,UM,UMGG,28,BY
IMV,GS 32,GS,TERMINAL,111550,,,,,,312.029,3.00,18,44.298986111,143.409394444,72,RJ,RJEB,32,JP
IMV,ILS 28,ILS-I,TERMINAL,108700,,,,,,290.845,,18,52.532694444,30.992250000,464,UM,UMGG,28,BY
IMV,ILS 32,ILS-I,TERMINAL,111550,,,,,,312.029,,18,44.311338889,143.392500000,72,RJ,RJEB,32,JP
IMV,MONBETSU DME-ILS,DME-ILS,TERMINAL,111550,52Y,1076000,1139000,0,,,,25,44.298938889,143.409230556,87,RJ,RJEB,,JP
IMVD,CARRASCO INTL/GEN C L BER DME-ILS,DME-ILS,TERMINAL,111100,48X,1072000,1009000,0,,,,25,-34.844900000,-56.030700000,66,SU,SUMU,,UY
IMVD,GS 19,GS,TERMINAL,111100,,,,,,179.414,3.00,18,-34.824580556,-56.031950000,105,SU,SUMU,19,UY
IMVD,ILS 19,ILS-I,TERMINAL,111100,,,,,,179.414,,18,-34.844900000,-56.030700000,105,SU,SUMU,19,UY
IMVN,GS 23,GS,TERMINAL,111700,,,,,,229.954,3.00,18,38.328433333,-88.852816667,471,K5,KMVN,23,US
IMVN,ILS 23,ILS-I,TERMINAL,111700,,,,,,229.954,,18,38.316844444,-88.868225000,471,K5,KMVN,23,US
IMVP,GS 19L,GS,TERMINAL,111550,,,,,,199.939,3.00,18,37.658550000,-97.417547222,1312,K3,KICT,19L,US
IMVP,ILS 19L,ILS-I,TERMINAL,111550,,,,,,199.939,,18,37.639255556,-97.427894444,1312,K3,KICT,19L,US
IMVP,WICHITA EISENHOWER NATL DME-ILS,DME-ILS,TERMINAL,111550,52Y,1076000,1139000,0,,,,25,37.639313889,-97.428683333,1320,K3,KICT,,US
IMVY,GS 24,GS,TERMINAL,108700,,,,,,220.513,3.00,18,41.396552778,-70.609502778,57,K6,KMVY,24,US
IMVY,ILS 24,ILS-I,TERMINAL,108700,,,,,,220.513,,18,41.384544444,-70.621738889,57,K6,KMVY,24,US
IMVY,MARTHA'S VINEYARD DME-ILS,DME-ILS,TERMINAL,108700,24X,1048000,985000,0,,,,25,41.384466667,-70.620550000,60,K6,KMVY,,US
IMW,GS 20L,GS,TERMINAL,110100,,,,,,196.717,3.00,18,29.731147222,106.651116667,1364,ZU,ZUCK,20L,CN
IMW,GS 27,GS,TERMINAL,109300,,,,,,274.201,3.00,18,-37.660694444,144.844527778,450,YM,YMML,27,AU
IMW,GS 30,GS,TERMINAL,109300,,,,,,302.294,3.00,18,44.219833333,43.101250000,1044,UR,URMM,30,RU
IMW,ILS 20L,ILS-I,TERMINAL,110100,,,,,,196.717,,18,29.702461111,106.639908333,1364,ZU,ZUCK,20L,CN
IMW,ILS 27,ILS-I,TERMINAL,109300,,,,,,274.201,,18,-37.660055556,144.810083333,450,YM,YMML,27,AU
IMW,ILS 30,ILS-I,TERMINAL,109300,,,,,,302.294,,18,44.238555556,43.057027778,1044,UR,URMM,30,RU
IMW,JIANGBEI DME-ILS,DME-ILS,TERMINAL,110100,38X,1062000,999000,0,,,,25,29.731147222,106.651116667,1362,ZU,ZUCK,,CN
IMW,MELBOURNE INTL DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,-37.660611111,144.844555556,437,YM,YMML,,AU
IMW,MINERALNYYE VODY DME-ILS,DME-ILS,TERMINAL,109300,30X,1054000,991000,0,,,,25,44.219833333,43.101250000,1044,UR,URMM,,RU
IMWA,GS 20,GS,TERMINAL,109300,,,,,,202.575,3.00,18,37.766813889,-89.009863889,463,K5,KMWA,20,US
IMWA,ILS 20,ILS-I,TERMINAL,109300,,,,,,202.575,,18,37.745750000,-89.019413889,463,K5,KMWA,20,US
IMWC,ILS 15L,LOC,TERMINAL,108500,,,,,,145.675,,18,43.105552778,-88.029022222,0,K5,KMWC,15L,US
IMWD,GS 22,GS,TERMINAL,110700,,,,,,211.558,3.00,18,43.123797222,-77.675455556,548,K6,KROC,22,US
IMWD,ILS 22,ILS-I,TERMINAL,110700,,,,,,211.558,,18,43.104477778,-77.689730556,548,K6,KROC,22,US
IMWH,GS 32R,GS,TERMINAL,109500,,,,,,342.187,3.00,18,47.192855556,-119.312566667,1164,K1,KMWH,32R,US
IMWH,ILS 32R,ILS-I,TERMINAL,109500,,,,,,342.187,,18,47.228258333,-119.327741667,1164,K1,KMWH,32R,US
IMWO,ILS 23,LOC,TERMINAL,111100,,,,,,229.333,,18,39.523766667,-84.406230556,0,K5,KMWO,23,US
IMWP,ILS 06,LOC,TERMINAL,109100,,,,,,60.793,,18,32.454950000,-93.811947222,0,K4,KSHV,06,US
IMWP,SHREVEPORT REGL DME-ILS,DME-ILS,TERMINAL,109100,28X,1052000,989000,0,,,,25,32.454558333,-93.811283333,232,K4,KSHV,,US
IMWX,GS 05R,GS,TERMINAL,109100,,,,,,059.267,3.00,18,19.429350000,-99.078891667,7314,MM,MMMX,05R,MX
IMWX,ILS 05R,ILS-I,TERMINAL,109100,,,,,,59.267,,18,19.446730556,-99.050738889,7314,MM,MMMX,05R,MX
IMWX,LIC BENITO JUAREZ INTL DME-ILS,DME-ILS,TERMINAL,109100,28X,1052000,989000,0,,,,25,19.429350000,-99.078891667,7314,MM,MMMX,,MX
IMXF,GS 15,GS,TERMINAL,109300,,,,,,148.592,3.00,18,32.387852778,-86.372461111,160,K7,KMXF,15,US
IMXF,ILS 15,ILS-I,TERMINAL,109300,,,,,,148.592,,18,32.368983333,-86.356927778,160,K7,KMXF,15,US
IMXJ,GS 19,GS,TERMINAL,108500,,,,,,190.878,2.50,18,38.743311111,-93.543233333,861,K3,KSZL,19,US
IMXJ,ILS 19,ILS-I,TERMINAL,108500,,,,,,190.878,,18,38.709055556,-93.553100000,861,K3,KSZL,19,US
IMXK,GS 19R,GS,TERMINAL,111500,,,,,,179.859,3.00,18,38.820275000,-76.869000000,267,K6,KADW,19R,US
IMXK,ILS 19R,ILS-III,TERMINAL,111500,,,,,,179.859,,18,38.793208333,-76.870580556,267,K6,KADW,19R,US
IMXT,CHICAGO MIDWAY INTL DME-ILS,DME-ILS,TERMINAL,109900,36X,1060000,997000,0,,,,25,41.792486111,-87.760044444,607,K5,KMDW,,US
IMXT,GS 31C,GS,TERMINAL,109900,,,,,,313.670,3.00,18,41.781525000,-87.748916667,611,K5,KMDW,31C,US
IMXT,ILS 31C,ILS-I,TERMINAL,109900,,,,,,313.670,,18,41.792066667,-87.761761111,611,K5,KMDW,31C,US
IMY,GS 22,GS,TERMINAL,108900,,,,,,218.163,3.00,18,24.787011111,125.300275000,140,RO,ROMY,22,JP
