icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,climb_rate,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
BE50,,Beechcraft,Model 50 Twin Bonanza,L2P,L,20000,,1450,,176,186,,,,3.45,9.60,25.70,13.79,,,680,1430,,1806,2858,,,,,
BE55,,Beechcraft,Model 55 Baron,L2P,L,19700,,1670,88,180,205,,,,2.92,8.53,18.51,11.53,,,510,942,,1432,,,,2313,,
BE56,,Beechcraft,Model 56 Turbo Baron,L2P,L,19700,,1670,91,180,205,,,,2.92,8.53,18.51,11.53,,,510,942,,1432,,,,,,
BE58,,Beechcraft,Model 58 Baron,L2P,L,19700,,1670,95,200,205,,,,2.92,8.53,18.51,11.53,,,510,942,,1432,,,,,,
BE60,,Beechcraft,Model 60 Duke,L2P,L,30000,,1601,98,178,248,,,,3.76,10.31,19.78,11.97,,,540,1227,,1939,,,,3073,,
BE65,,Beechcraft,Model 65 Queen Air,L2P,L,26800,,1275,87,159,215,,,,4.33,10.82,27.30,15.32,,,810,1317,,2394,,,,,,
BE70,,Beechcraft,Model 70 Queen Air,L2P,L,26800,,1275,87,159,215,,,,4.33,10.82,27.30,15.32,,,810,1317,,2394,,,,,,
BE76,,Beechcraft,Model 76 Duchess,L2P,L,19650,,1248,76,158,,171,,,2.90,8.85,16.80,11.58,,,380,780,,1116,,,,1769,,
BE77,,Beechcraft,Model 77 Skipper,L1P,L,12900,,720,63,105,,,,,2.41,7.32,12.10,9.14,,,,412,,499,,,,760,,
BE80,,Beechcraft,Model 80 Queen Air,L2P,L,26800,,1275,87,159,215,,,,4.33,10.82,27.30,15.32,,,810,1317,,2394,,,,3992,,
BE88,,Beechcraft,Model 88 Queen Air,L2P,L,26800,,1275,87,159,215,,,,4.33,10.82,27.30,15.32,,,810,1317,,2394,,,,3992,,
BE95,,Beechcraft,Model 95 Travel Air,L2P,L,18100,,1250,79,169,180,210,,,2.90,7.90,18.51,11.53,,,420,884,,1159,,,,1159,,
BE99,,Beechcraft,Model 99 Airliner,L2T,L,26200,,1700,107,205,,,,,4.38,13.58,25.98,13.98,,,,910,,2510,,,,4717,,
BE9L,,Beechcraft,Model 90 King Air,L2T,L,30000,,2000,98,226,270,,,,4.34,10.82,27.00,15.32,,,,1321,,3150,,,,4580,,
BE9T,,Beechcraft,Model 90 King Air (F90),L2T,L,,,,108,,,,,,,,,,,,,,,,,,,,,
BLCF,74B,Boeing,747-400LCF Dreamlifter,L4J,H,,,,,474,,,,,21.54,71.68,,64.40,,,199150,4200,,180530,,,,364235,,
BMAN,,Australian Aircraft Kits,Bushman,L1P,L,,,,36,,,,,,,,,,,,,,,,,,,,,
BSCA,,Boeing,747SCA Shuttle Carrier,L4J,H,15000,,,,250,,,,,19.33,70.51,510.00,59.64,,,,1150,,144242,,,,322051,,
BSTP,,Bell,214ST SuperTransport,H2T,M,10400,,1780,,140,143,,,,4.84,15.03,,,,,,435,,4300,,,,7938,,
BT36,,Beechcraft,Model 36 Bonanza (G36),L1P,L,18500,,1230,,176,,,,,2.62,8.38,,10.21,,,,716,930,1142,1656,,,,,
BU31,,Bücker,Bü 131 Jungmann,L1P,L,14100,,,30,92,99,,,,2.25,6.62,13.50,7.40,,,,350,,380,670,,,,,
BU33,,Bücker,Bü 133 Jungmeister,L1P,L,14800,,,30,110,120,,,,2.20,6.00,12.00,6.60,,,,270,,425,,,,585,,
BU81,,Bücker,Bü 181 Bestmann,L1P,L,16000,,,30,105,116,240,,,2.05,7.85,13.50,10.60,,,,430,,480,,,,750,,
C02T,,Cessna,402 (turbine),L2T,L,,,,88,,,,,,,,,,,,,,,,,,,,,
C04T,,Cessna,404 (turbine),L2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
C06T,,Cessna,206 (turbine),L1T,L,,,,74,,,,,,,,,,,,,,,,,,,,,
C07T,,Cessna,207 (turbine),L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
C101,,CASA,C-101,L1J,L,42000,,4900,,354,450,450,,,4.25,12.50,20.00,10.60,,,,280,1100,,,,,,,
C10T,,Cessna,P210 (turbine),L1T,L,,,,,,,,,,,,,,,,,,,,,,,,,
C120,,Cessna,120,L1P,L,15500,,680,,91,109,120,,,1.91,6.55,14.80,10.16,,,79,390,,404,658,,,,,
C125,,Northrop,C-125 Raider,L3P,M,12200,,,,149,180,,,,7.04,20.45,,26.37,,,,1613,,,,,,19006,,
C130,LOH,Lockheed,C-130 Hercules,L4T,M,33000,,,129,292,320,,,,11.66,29.79,162.10,40.41,,,,2050,,34382,,,,70307,,
C133,,Douglas,C-133 Cargomaster,L4T,M,29950,,1280,,281,312,,,,14.70,47.01,248.30,54.78,,,,3560,,54550,124738,,,129727,,
C135,,Boeing,C-135 Stratolifter,L4J,H,50000,,4900,,,500,,,,12.70,41.53,226.00,39.88,,,,3450,,56200,135000,,,146000,,
C140,,Cessna,140,L1P,L,15500,,680,,91,109,120,,,1.91,6.55,14.80,10.16,,,79,390,,404,658,,,,,
C141,,Lockheed,C-141 Starlifter,L4J,H,41000,,2600,129,,493,,,,12.00,51.30,300.00,48.80,,,,2550,5330,65542,,,,147000,,
C14T,,Cessna,414 (turbine),L2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
C15,,McDonnell Douglas,YC-15,L4J,M,30000,,,,471,510,,,,13.20,37.90,160.00,40.40,,,,2600,,47600,,,,98285,,
C150,,Cessna,150,L1P,L,14000,,670,55,82,109,140,,,2.59,7.29,15.00,10.11,,,85,420,,509,,,,726,,
C152,,Cessna,152,L1P,L,14700,,715,56,107,109,,,,2.59,7.34,15.00,10.16,,,,415,691,490,757,,,,,
C160,,Transall,C-160,L2T,M,,,,,,,,,,,,,,,,,,,,,,,,,
C162,,Cessna,162 Skycatcher,L1P,L,15500,,890,61,112,118,,,,2.60,6.90,11.00,9.10,,,,470,,376,599,,,,,
C17,,Boeing,C-17 Globemaster III,L4J,H,45000,,,,450,583,,,,16.79,53.00,350.00,51.76,,,134560,2420,4300,128140,,,,265352,,
C170,,Cessna,170,L1P,L,15500,,690,59,100,120,,,,2.01,7.61,16.20,11.00,,,160,,,547,998,,,,,
C172,CN1,Cessna,172 Skyhawk,L1P,L,13500,,721,62,122,,163,,,2.72,8.28,16.20,11.00,,,121,696,,767,1111,,,,,
C175,,Cessna,175 Skylark,L1P,L,17800,,950,56,90,130,,,,2.72,8.08,16.30,11.02,,,200,630,,640,,,,1111,,
C177,,Cessna,177 Cardinal,L1P,L,14600,,840,52,124,136,,,,2.62,8.43,16.20,10.82,,,,604,,678,,,,1134,,
C180,,Cessna,180 Skywagon,L1P,L,17700,,1100,64,142,148,,,,2.36,7.85,16.20,10.92,,,,890,,771,1270,,,,,
C182,CN1,Cessna,182 Skylane,L1P,L,18100,,924,,145,150,175,,,2.84,8.84,16.20,10.97,,,,930,,894,,,,1406,,
C185,,Cessna,185 Skywagon,L1P,L,17150,,1010,64,145,155,,,,2.36,7.85,16.20,10.92,,,,720,,793,1520,,,,,
C188,,Cessna,188,L1P,L,11100,,690,65,98,105,,,,2.35,8.00,19.00,12.70,,,210,256,,934,1497,,,1905,,
C190,,Cessna,190,L1P,L,18300,,1200,,150,155,170,,,2.18,8.33,,11.02,,,280,700,,953,1520,,,,,
C195,,Cessna,195 Businessliner,L1P,L,18300,,1200,,150,155,170,,,2.18,8.33,,11.02,,,280,700,,853,1520,,,,,
C2,,Grumman,C-2 Greyhound,L2T,M,33500,,3700,,251,343,,,,4.84,17.32,65.00,24.65,,,,1500,2000,15307,22405,,,27216,,
C205,,Cessna,205,L1P,L,15700,,988,52,142,151,,,,2.83,8.61,16.30,10.97,,,,730,,987,,,,1633,,
C206,,Cessna,206,L1P,L,15700,,988,70,142,151,,,,2.83,8.61,16.30,10.97,,,,730,,987,,,,1633,,
C207,,Cessna,207,L1P,L,15700,,988,102,142,151,,,,2.83,8.61,16.30,10.97,,,,730,,987,,,,1633,,
C208,CN1,Cessna,208 Caravan,L1T,L,25000,,1234,77,186,,,,,4.53,11.46,25.96,15.87,,,1257,1070,,2145,3629,3538,,,,
C210,CN1,Cessna,210 Centurion,L1P,L,27000,,930,,193,204,,,,2.95,8.59,16.30,11.20,,,330,900,,1045,1814,,,,,
C212,,Airbus Defence and Space,C212,L2T,M,26000,,1630,81,191,200,,,,6.60,16.15,41.00,20.28,,,2040,451,1450,3780,,,,7700,,
C21T,,Cessna,421 Golden Eagle (turbine),L2T,L,,,,,,,,,,,,,,,,,,,,,,,,,
C240,,Cessna,T240 Corvalis TTx,L1P,L,25000,,1500,,235,235,,,,2.74,7.67,13.10,11.00,,,,1107,,1134,,,,1633,,
C25A,,Cessna,525A CitationJet CJ2,L2J,L,45000,,4120,114,418,,,,,4.27,14.53,25.00,15.19,,,2221,1781,,3642,,,,5670,,
C25B,,Cessna,525B CitationJet CJ3,L2J,L,45000,,4478,108,416,,,,,4.62,15.59,27.32,16.26,,,2661,2040,,3874,,,,6291,,
C25C,,Cessna,525C CitationJet CJ4,L2J,L,45000,,3854,111,451,,,,,4.69,16.26,30.66,15.49,,,3293,2165,,4663,,,,7761,,
C25M,,Cessna,525 Citation M2,L2J,L,41000,,3698,100,404,,,,,4.24,12.98,22.30,14.40,,,1862,1550,,3171,,,,4853,,
C295,,Airbus Defence and Space,C295,L2T,M,13500,30000,,180,260,,,,,8.66,24.46,59.00,25.81,,,7650,2477,2700,,,20700,21050,21000,18500,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa186
C303,,Cessna,T303 Crusader,L2P,L,25000,,1480,81,196,216,,,,4.06,9.27,17.58,11.90,,,580,1020,,1499,2336,,,,,
C30J,,Lockheed Martin,C-130J Super Hercules,L4T,M,28000,40380,,,348,362,,,,11.84,29.79,162.10,40.41,,,,1800,,34274,,,,70307,,
C310,,Cessna,310,L2P,L,20000,,1700,82,178,190,,,,3.20,8.23,16.30,10.67,,,380,870,,1293,2087,,,,,
C320,,Cessna,320 Skyknight,L2P,L,20000,,1700,82,178,190,,,,3.20,8.23,16.30,10.67,,,380,870,,1293,2087,,,,,
C335,,Cessna,335,L2P,L,29800,,1650,,,244,,,,3.84,10.46,17.10,11.61,,,,1406,,1779,,,,2717,,
C336,,Cessna,336 Skymaster,L2P,L,19500,,1200,,125,173,,,,2.84,9.07,18.70,11.81,,,350,839,,1204,,,,1996,,
C337,,Cessna,337 Super Skymaster,L2P,L,19500,,1200,70,125,173,,,,2.84,9.07,18.70,11.81,,,350,839,,1204,,,,1996,,
C340,,Cessna,340,L2P,L,29800,,1650,94,,244,,,,3.84,10.46,17.10,11.61,,,,1406,,1779,,,,2717,,
C402,,Cessna,402,L2P,L,26900,,1450,90,142,231,231,,,3.49,11.09,20.98,13.45,,,780,1273,,1849,,,,3107,,
C404,,Cessna,404 Titan,L2P,L,26000,,1575,96,163,232,238,,,4.04,12.05,22.48,14.23,,,1300,2120,,2185,,,,3810,,
C411,,Cessna,411,L2P,L,26000,,1600,94,188,233,,,,3.52,10.20,19.00,12.15,,,640,1100,,1733,,,,2948,,
C414,,Cessna,414,L2P,L,30800,,,95,,235,,,,3.49,11.09,20.98,13.45,,,,1328,,1980,3062,,,,,
C421,,Cessna,421 Golden Eagle,L2P,L,30200,,1940,96,240,256,,,,3.49,11.09,20.00,12.53,,,780,1487,,2042,,,,3379,,
C425,,Cessna,425 Corsair/Conquest I,L2T,L,34700,,2027,98,210,264,,,,3.84,10.93,20.90,13.45,,,1390,1646,,2229,,,,3719,,
C441,,Cessna,441 Conquest II,L2T,L,35000,,2435,98,259,300,,,,4.01,11.89,23.56,15.04,,,,2194,,2577,4468,,,,,
C5,,Lockheed,C-5 Galaxy,L4J,H,41000,,2100,135,450,462,,,,19.84,75.31,580.00,67.89,,,193600,4800,7000,172365,381018,,,417305,,
C500,CNJ,Cessna,500 Citation I,L2J,L,41000,,2719,,357,404,,,,4.37,13.26,25.87,14.35,,,2130,1328,,3008,,,,3575,,
C501,,Cessna,501 Citation I/SP,L2J,L,41000,,2719,,357,404,,,,4.37,13.26,25.87,14.35,,,2130,1328,,3008,,,,3575,,
C510,CNJ,Cessna,510 Citation Mustang,L2J,L,41000,,3010,105,340,420,,,,4.09,12.37,,13.16,,,,1343,,2540,,,,3930,,
C525,,Cessna,525 CitationJet,L2J,L,41000,,,108,,,,,,4.24,12.98,22.30,14.40,,,,,,,,,,,,
C526,,Cessna,526 CitationJet,L2J,L,35000,,,107,,270,,,,3.81,12.40,20.60,11.28,,,,1209,,2925,3855,,,,,
C550,CNJ,Cessna,550 Citation II,L2J,L,43000,,3040,,403,464,,,,4.57,14.54,31.83,15.91,,,3260,1998,,3656,,,,6849,,
C551,,Cessna,551 Citation II/SP,L2J,L,43000,,3040,,403,464,,,,4.57,14.54,31.83,15.91,,,3260,1998,,3656,,,,6849,,
C55B,,Cessna,550B Citation Bravo,L2J,L,43000,,3040,,403,464,,,,4.57,14.54,31.83,15.91,,,3260,1998,,3656,,,,6849,,
C560,,Cessna,560 Citation V,L2J,M,45000,,4230,107,430,496,,,,4.57,14.91,31.83,15.90,,,,1960,,4627,,,,7634,,
C56X,CNJ,Cessna,560XL Citation Excel,L2J,M,45000,,3500,107,441,,,,,5.23,16.00,,17.17,,,,1858,,5806,,,,9163,,
C5M,,Lockheed,C-5M Super Galaxy,L4J,H,41000,,2100,135,450,462,,,,19.84,75.31,580.00,67.89,,,193600,4800,7000,172365,381018,,,417305,,
C650,,Cessna,650 Citation III,L2J,M,51000,,3805,126,472,491,,,,5.12,16.90,29.00,16.31,,,,2348,,5534,,,,9980,,
C680,CNJ,Cessna,680 Citation Sovereign,L2J,M,47000,,4083,108,460,529,,,,6.20,19.35,50.40,22.04,,,6435,3200,,8271,,,,13959,,
C68A,,Cessna,680A Citation Latitude,L2J,M,45000,,2313,,368,446,460,,,6.38,18.97,50.40,22.05,,,6460,2700,,8462,,,,13971,,
C700,,Cessna,700 Citation Longitude,L2J,M,45000,,,,483,,,,,5.92,22.30,49.90,21.01,,,8250,3500,,10609,,,,17917,,
C72R,,Cessna,172RG Cutlass,L1P,L,,,,,,,,,,,,,,,,,,,,,,,,,
