slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
vbg-tacan-k2,VBG,Vandenberg (Lompoc) TACAN,TACAN,ENROUTE,112250,59Y,1083000,1146000,,12.000,,,40,34.73256,-120.58306,311,K2,,,US
vct-tacan-rj,VCT,Shimotsushima TACAN,TACAN,ENROUTE,116850,115Y,1139000,1076000,,-6.000,,,130,34.13000,129.28333,601,RJ,,,JP
vkl-tacan-eh,VKL,Volkel TACAN,TACAN,ENROUTE,108300,20X,1044000,981000,,2.000,,,130,51.65543,5.70698,84,EH,,,NL
vln-tacan-eg,VLN,Yeovilton TACAN,TACAN,ENROUTE,111000,47X,1071000,1008000,,-1.000,,,130,51.00501,-2.63874,113,EG,,,GB
vok-tacan-k5,VOK,Volk (Camp Douglas) TACAN,TACAN,ENROUTE,110400,41X,1065000,1002000,,0.000,,,40,43.94283,-90.25905,960,K5,,,US
vyl-tacan-eg,VYL,Valley TACAN,TACAN,ENROUTE,108400,21X,1045000,982000,,-2.000,,,40,53.25742,-4.54412,106,EG,,,GB
wad-tacan-eg,WAD,Waddington TACAN,TACAN,ENROUTE,117100,118X,1142000,1205000,,0.000,,,40,53.16535,-0.52671,231,EG,,,GB
wdt-tacan-eh,WDT,Woensdrecht TACAN,TACAN,ENROUTE,115000,97X,1121000,1184000,,2.000,,,130,51.44740,4.34392,94,EH,,,NL
wib-tacan-et,WIB,Wiesbaden TACAN,TACAN,ENROUTE,114100,88X,1112000,1175000,,2.000,,,130,50.04608,8.31080,453,ET,,,DE
wit-tacan-eg,WIT,Wittering TACAN,TACAN,ENROUTE,117600,123X,1147000,1210000,,0.000,,,130,52.60791,-0.49873,295,EG,,,GB
wlm-tacan-yb,WLM,Williamtown (Newcastle) TACAN,TACAN,ENROUTE,113300,80X,1104000,1167000,,12.000,,,130,-32.79711,151.83311,31,YB,,,AU
wnj-tacan-rk,WNJ,Wonju TACAN,TACAN,ENROUTE,111600,53X,1077000,1014000,,-8.000,,,40,37.43181,127.96211,500,RK,,,KR
wtm-tacan-et,WTM,Wittmundhafen TACAN,TACAN,ENROUTE,113500,82X,1106000,1169000,,3.000,,,130,53.55433,7.72511,61,ET,,,DE
wtn-tacan-eg,WTN,Warton TACAN,TACAN,ENROUTE,113200,79X,1103000,1166000,,-2.000,,,130,53.74175,-2.88516,108,EG,,,GB
wtz-tacan-eg,WTZ,Wattisham TACAN,TACAN,ENROUTE,109300,30X,1054000,991000,,0.000,,,130,52.12193,0.94047,324,EG,,,GB
wun-tacan-et,WUN,Wunstorf TACAN,TACAN,ENROUTE,114850,95Y,1119000,1056000,,3.000,,,130,52.45486,9.42938,196,ET,,,DE
wwt-tacan-rj,WWT,Hofu TACAN,TACAN,ENROUTE,135900,16X,1040000,977000,,-8.000,,,130,34.03826,131.54646,25,RJ,,,JP
xbg-tacan-cy,XBG,Bagotville TACAN,TACAN,ENROUTE,111800,55X,1079000,1016000,,-18.000,,,130,48.32944,-70.99556,531,CY,,,CA
xmt-tacan-rj,XMT,Kowa TACAN,TACAN,ENROUTE,113500,82X,1106000,1169000,,-7.000,,,130,34.70459,136.95743,326,RJ,,,JP
