slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
mke-vor-dme-wa,MKE,Merauke VOR/DME,VOR-DME,ENROUTE,115800,105X,1129000,1192000,,4.000,,,130,-8.52261,140.41711,26,WA,,,ID
mkg-vor-dme-rc,MKG,Magong (Penghu I.) VOR/DME,VOR-DME,ENROUTE,115200,99X,1123000,1186000,,-4.000,,,130,23.59544,119.63728,77,RC,,,TW
mkl-vor-dme-k7,MKL,Mc Kellar (Jackson) VOR/DME,VOR-DME,ENROUTE,112000,57X,1081000,1018000,,-1.000,,,25,35.60357,-88.91043,410,K7,,,US
mkl-vor-dme-ur,MKL,Makhachkala VOR/DME,VOR-DME,ENROUTE,113200,79X,1103000,1166000,,7.000,,,130,42.82128,47.64553,100,UR,,,RU
mkn-vor-dme-lg,MKN,Mikonos VOR/DME,VOR-DME,ENROUTE,110000,37X,1061000,998000,,4.000,,,130,37.44026,25.34452,422,LG,,,GR
mkn-vor-dme-vy,MKN,Myitkyina VOR/DME,VOR-DME,ENROUTE,115700,104X,1128000,1191000,,-1.000,,,130,25.38765,97.35842,484,VY,,,MM
mkr-vor-dme-lg,MKR,Mikra (Thessaloniki) VOR/DME,VOR-DME,ENROUTE,110800,45X,1069000,1006000,,5.000,,,130,40.51873,22.96980,27,LG,,,GR
mks-vor-dme-wa,MKS,Makassar VOR/DME,VOR-DME,ENROUTE,114700,94X,1118000,1181000,,1.000,,,130,-5.03781,119.52619,44,WA,,,ID
mkt-vor-dme-k3,MKT,Mankato VOR/DME,VOR-DME,ENROUTE,110800,45X,1069000,1006000,,7.000,,,40,44.21991,-93.91236,1026,K3,,,US
mkw-vor-dme-wa,MKW,Manokwari VOR/DME,VOR-DME,ENROUTE,115700,104X,1128000,1191000,,1.000,,,40,-0.89648,134.05037,37,WA,,,ID
ml-vor-dme-ym,ML,Melbourne VOR/DME,VOR-DME,ENROUTE,114100,88X,1112000,1175000,,11.000,,,130,-37.66014,144.84200,412,YM,,,AU
mla-vor-dme-le,MLA,Maella VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,,1.000,,,130,41.12958,0.16525,1181,LE,,,ES
mlb-vor-dme-k7,MLB,Melbourne VOR/DME,VOR-DME,ENROUTE,110000,37X,1061000,998000,,-7.000,,,40,28.10528,-80.63534,30,K7,,,US
mld-vor-dme-hk,MLD,Malindi VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,,-1.000,,,130,-3.23354,40.10261,100,HK,,,KE
mld-vor-dme-k1,MLD,Malad City VOR/DME,VOR-DME,ENROUTE,117400,121X,1145000,1208000,,17.000,,,130,42.19990,-112.45124,7330,K1,,,US
mle-vor-dme-vr,MLE,Male VOR/DME,VOR-DME,ENROUTE,114700,94X,1118000,1181000,,-3.000,,,130,4.20650,73.52761,26,VR,,,MV
mlg-vor-dme-le,MLG,Malaga Aeropuerto Sur VOR/DME,VOR-DME,ENROUTE,113550,82Y,1106000,1043000,,-1.000,,,130,36.67875,-4.50664,98,LE,,,ES
mlg-vor-dme-sa,MLG,Malargue VOR/DME,VOR-DME,ENROUTE,117200,119X,1143000,1206000,,4.000,,,130,-35.48611,-69.57861,4692,SA,,,AR
