slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
nhc-vortac-ro,NHC,Naha VORTAC,VORTAC,ENROUTE,116500,112X,1136000,1199000,,-5.000,,,130,26.20853,127.64287,57,RO,,,JP
njl-vortac-oe,NJL,King Abdulaziz Naval Base VORTAC,VORTAC,ENROUTE,114800,95X,1119000,1182000,,3.000,,,40,26.94333,49.70544,100,OE,,,SA
nkw-vortac-fj,NKW,Diego Garcia VORTAC,VORTAC,ENROUTE,112000,57X,1081000,1018000,,-8.000,,,130,-7.31667,72.41167,13,FJ,,,IO
nph-vortac-rk,NPH,Navy (Pohang) VORTAC,VORTAC,ENROUTE,109600,33X,1057000,994000,,-8.000,,,130,35.98636,129.40883,117,RK,,,KR
ntm-vortac-ed,NTM,Nattenheim VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,,1.000,,,130,50.01586,6.53179,1388,ED,,,DE
nvo-vortac-ed,NVO,Noervenich VORTAC,VORTAC,ENROUTE,116200,109X,1133000,1196000,,2.000,,,130,50.82267,6.63654,430,ED,,,DE
oal-vortac-k2,OAL,Coaldale VORTAC,VORTAC,ENROUTE,117700,124X,1148000,1211000,,17.000,,,130,38.00326,-117.77045,4800,K2,,,US
obh-vortac-k3,OBH,Wolbach VORTAC,VORTAC,ENROUTE,114800,95X,1119000,1182000,,7.000,,,130,41.37574,-98.35359,2010,K3,,,US
obv-vortac-fa,OBV,Overberg VORTAC,VORTAC,ENROUTE,115400,101X,1125000,1188000,,-25.000,,,130,-34.55612,20.24714,43,FA,,,ZA
ocf-vortac-k7,OCF,Ocala VORTAC,VORTAC,ENROUTE,113700,84X,1108000,1171000,,0.000,,,40,29.17748,-82.22633,78,K7,,,US
ocn-vortac-k2,OCN,Oceanside VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,,15.000,,,130,33.24063,-117.41772,52,K2,,,US
odi-vortac-k3,ODI,Nodine VORTAC,VORTAC,ENROUTE,117900,126X,1150000,1213000,,1.000,,,130,43.91233,-91.46752,1282,K3,,,US
oed-vortac-k1,OED,Rogue Valley (Medford) VORTAC,VORTAC,ENROUTE,113600,83X,1107000,1170000,,19.000,,,130,42.47957,-122.91293,2083,K1,,,US
ogd-vortac-k2,OGD,Ogden VORTAC,VORTAC,ENROUTE,115700,104X,1128000,1191000,,14.000,,,130,41.22409,-112.09824,4225,K2,,,US
ogg-vortac-ph,OGG,Maui (Kahului) VORTAC,VORTAC,ENROUTE,115100,98X,1122000,1185000,,11.000,,,130,20.90647,-156.42095,24,PH,,,US
