slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
vea-dme-en,VEA,Svea DME,DME,ENROUTE,117500,122X,1146000,1209000,,,,,40,77.85979,16.65012,109,EN,,,SJ
vg-dme-us,VG,Zhiguli DME,DME,ENROUTE,110800,45X,1069000,1006000,,,,,130,53.35500,49.30139,591,US,,,RU
vi-dme-ee,VI,Vohma DME,DME,ENROUTE,114900,96X,1120000,1183000,,,,,130,58.65583,25.57472,300,EE,,,EE
vil-dme-ef,VIL,Vilmas (Lappeenranta) DME,DME,ENROUTE,112500,72X,1096000,1159000,,,,,130,61.03882,28.11689,363,EF,,,FI
vin-dme-uk,VIN,Vinnytsia DME,DME,ENROUTE,113900,86X,1110000,1173000,,,,,130,49.23989,28.62092,994,UK,,,UA
vit-dme-lb,VIT,Vitosha DME,DME,ENROUTE,113450,81Y,1105000,1042000,,,,,130,42.56528,23.29000,7500,LB,,,BG
viw-dme-lo,VIW,Villach DME,DME,ENROUTE,112900,76X,1100000,1163000,,,,,130,46.69635,13.91489,6295,LO,,,AT
vlk-dme-ey,VLK,Valkininkai DME,DME,ENROUTE,116700,114X,1138000,1201000,,,,,130,54.35081,24.80367,719,EY,,,LT
vms-dme-fd,VMS,Matsapha (Manzini) DME,DME,ENROUTE,112300,70X,1094000,1157000,,,,,130,-26.51273,31.32351,2196,FD,,,SZ
vnn-dme-k5,VNN,Mount Vernon DME,DME,ENROUTE,113800,85X,1109000,1172000,,,,,40,38.36195,-88.80734,558,K5,,,US
vno-dme-ay,VNO,Vanimo DME,DME,ENROUTE,115600,103X,1127000,1190000,,,,,125,-2.67855,141.30323,290,AY,,,PG
vrb-dme-lb,VRB,Varbitsa DME,DME,ENROUTE,114550,92Y,1116000,1053000,,,,,130,42.92583,26.66750,3200,LB,,,BG
vti-dme-ef,VTI,Vihti DME,DME,ENROUTE,117000,117X,1141000,1204000,,,,,130,60.45925,24.24407,203,EF,,,FI
wdt-dme-uh,WDT,Knevichi (Vladivostok) DME,DME,ENROUTE,108200,19X,1043000,980000,,,,,130,43.40853,132.17500,59,UH,,,RU
wfj-dme-ls,WFJ,Weissfluhgipfel DME,DME,ENROUTE,113750,84Y,1108000,1045000,,,,,130,46.83458,9.79514,9478,LS,,,CH
wic-dme-ep,WIC,Wicko DME,DME,ENROUTE,108000,17X,1041000,978000,,,,,130,54.67944,17.67583,197,EP,,,PL
wie-dme-ep,WIE,Wielun DME,DME,ENROUTE,109650,33Y,1057000,1120000,,,,,130,50.88306,18.49528,984,EP,,,PL
wk-dme-nz,WK,Whakatane DME,DME,ENROUTE,117700,124X,1148000,1211000,,,,,130,-37.92466,176.91573,20,NZ,,,NZ
wk-dme-uh,WK,Volochayevka DME,DME,ENROUTE,112000,57X,1081000,1018000,,,,,130,48.56028,134.58250,295,UH,,,RU
wnn-dme-ed,WNN,Noervenich DME,DME,ENROUTE,109850,35Y,1059000,1122000,,,,,40,50.83549,6.66952,334,ED,,,DE
wol-dme-eg-egbo,WOL,Wolverhampton DME,DME,TERMINAL,108600,23X,1047000,984000,,,,,25,52.51579,-2.26182,300,EG,EGBO,,GB
wpl-dme-eg,WPL,Welshpool DME,DME,ENROUTE,115950,106Y,1130000,1067000,,,,,40,52.62996,-3.15381,252,EG,,,GB
wr-dme-nz,WR,Whangarei DME,DME,ENROUTE,117300,120X,1144000,1207000,,,,,125,-35.77133,174.36192,193,NZ,,,NZ
wr-dme-uu,WR,Vladimir DME,DME,ENROUTE,109000,27X,1051000,988000,,,,,130,56.12361,40.31639,591,UU,,,RU
ws-dme-nz,WS,West Port DME,DME,ENROUTE,116900,116X,1140000,1203000,,,,,125,-41.74064,171.57961,23,NZ,,,NZ
wt-dme-cy,WT,Waterloo (Kitchener) DME,DME,ENROUTE,115000,97X,1121000,1184000,,,,,125,43.45858,-80.37938,1047,CY,,,CA
wtp-dme-ei,WTP,Wolftrap DME,DME,ENROUTE,116300,110X,1134000,1197000,,,,,40,53.09589,-7.59128,1700,EI,,,IE
wu-dme-nz,WU,Whanganui DME,DME,ENROUTE,116000,107X,1131000,1194000,,,,,125,-39.95853,175.02650,11,NZ,,,NZ
ww-dme-uu,WW,Venev DME,DME,ENROUTE,108600,23X,1047000,984000,,,,,130,54.34611,38.23861,787,UU,,,RU
xl-dme-cy,XL,Sioux Lookout DME,DME,ENROUTE,113100,78X,1102000,1165000,,,,,125,50.11772,-91.89860,1302,CY,,,CA
ycf-dme-cy,YCF,Campbellford DME,DME,ENROUTE,113500,82X,1106000,1169000,,,,,130,44.33309,-77.70459,583,CY,,,CA
yga-dme-sb,YGA,Igarassu DME,DME,ENROUTE,112900,76X,1100000,1163000,,,,,40,-7.84524,-34.89310,33,SB,,,BR
yht-dme-uk,YHT,Yahotyn DME,DME,ENROUTE,117000,117X,1141000,1204000,,,,,130,50.26511,31.79453,451,UK,,,UA
ykj-dme-cy,YKJ,Key Lake DME,DME,ENROUTE,115300,100X,1124000,1187000,,,,,125,57.16723,-105.84102,1915,CY,,,CA
ylh-dme-sb,YLH,Ilheus DME,DME,ENROUTE,114000,87X,1111000,1174000,,,,,130,-14.81467,-39.03285,43,SB,,,BR
ymt-dme-cy,YMT,Chiboo (Chibougamau) DME,DME,ENROUTE,112100,58X,1082000,1019000,,,,,125,49.80005,-74.49568,1340,CY,,,CA
yp-dme-pt,YP,Yap DME,DME,ENROUTE,117500,122X,1146000,1209000,,,,,125,9.49962,138.08807,80,PT,,,FM
ypx-dme-cy,YPX,Puvirnituq DME,DME,ENROUTE,113500,82X,1106000,1169000,,,,,125,60.05893,-77.29674,129,CY,,,CA
ysc-dme-cy,YSC,Sherbrooke DME,DME,ENROUTE,113200,79X,1103000,1166000,,,,,130,45.31632,-71.78811,919,CY,,,CA
yvl-dme-eg,YVL,Yeovil DME,DME,ENROUTE,109050,27Y,1051000,1114000,,,,,25,50.94073,-2.65402,194,EG,,,GB
ywv-dme-cy,YWV,Wainwright DME,DME,ENROUTE,114500,92X,1116000,1179000,,,,,130,52.98139,-110.83333,2230,CY,,,CA
ywy-dme-cy,YWY,Wrigley DME,DME,ENROUTE,113100,78X,1102000,1165000,,,,,125,63.18563,-123.36374,494,CY,,,CA
zlu-dme-lr,ZLU,Zalau DME,DME,ENROUTE,108000,17X,1041000,978000,,,,,130,47.15278,23.10194,2400,LR,,,RO
znl-dme-ur,ZNL,Zenzeli DME,DME,ENROUTE,113600,83X,1107000,1170000,,,,,40,45.92694,47.06056,-17,UR,,,RU
zvd-dme-um,ZVD,Zviazda DME,DME,ENROUTE,115050,97Y,1121000,1058000,,,,,40,53.55603,28.13039,800,UM,,,BY
