icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
a58362,N4540T,Piper,PA-28-180 Cherokee,P28A,28-7205181,L1P,,,2022-09-30,1972-01-01
a58368,N4540Z,Piper,PA-22-108 Colt,PA22,22-8045,L1P,,,2024-03-31,1961-01-01
a58383,N4541R,Piper,PA-28-140 Cherokee,P28A,28-21246,L1P,,,2023-03-31,1965-01-01
a58389,N4541X,Piper,PA-28R-200 Arrow,P28R,28R-7635073,L1P,,,2023-06-30,1976-01-01
a5839e,N4542H,Piper,PA-15 Vagabond,PA15,15-316,L1P,,,2021-10-31,1948-01-01
a5839f,N4542J,Piper,PA-28R-180 Arrow,P28R,28R-30402,L1P,,,2024-07-31,1968-01-01
a583a2,N4542M,Piper,PA-11 Cub Special,PA11,11-46,L1P,,,2022-05-31,1947-01-01
a583a6,N4542R,Piper,PA-28-140 Cherokee,P28A,28-21247,L1P,,,2024-03-31,1965-01-01
a583a8,N4542T,Piper,PA-34-200 Seneca,PA34,34-7250128,L2P,,,2022-04-30,1972-01-01
a583ae,N4542Z,Piper,PA-22-108 Colt,PA22,22-8047,L1P,,,2024-07-31,1961-01-01
a583c5,N4543M,Piper,PA-11 Cub Special,PA11,11-47,L1P,,,2023-09-30,1947-01-01
a583d1,N4543Z,Piper,PA-22-108 Colt,PA22,22-8048,L1P,,,2024-07-31,1961-01-01
a583dd,N4544A,Piper,PA-22-150 Tri-Pacer,PA22,22-3853,L1P,,,2023-07-31,1956-01-01
a583e4,N4544H,Piper,PA-15 Vagabond,PA15,15-318,L1P,,,2022-11-30,1948-01-01
a583e8,N4544M,Piper,PA-11 Cub Special,PA11,11-59,L1P,,,2023-11-30,
a583ee,N4544T,Piper,PA-28R-200 Arrow,P28R,28R-7235085,L1P,,,2021-10-31,1972-01-01
a583f2,N4544X,Piper,PA-28-151 Cherokee Warrior,P28A,28-7615027,L1P,,,2024-07-31,1975-01-01
a583f4,N4544Z,Piper,PA-22-108 Colt,PA22,22-8049,L1P,,,2023-08-31,1961-01-01
a58415,N4545X,Piper,PA-28-181 Archer II,P28A,28-7690033,L1P,,,2024-07-31,1975-01-01
a58420,N45458,Piper,PA-18-150 Super Cub,PA18,18-8553,L1P,,,2022-02-28,1967-01-01
a5842a,N4546H,Piper,PA-15 Vagabond,PA15,15-320,L1P,,,2023-08-31,1948-01-01
a58432,N4546R,Piper,PA-28-140 Cherokee,P28A,28-21252,L1P,,,2021-11-30,1965-01-01
a58438,N4546X,Piper,PA-28R-200 Arrow,P28R,28R-7635074,L1P,,,2023-04-30,1975-01-01
a5843a,N4546Z,Piper,PA-22-108 Colt,PA22,22-8051,L1P,,,2023-10-31,1961-01-01
a58446,N4547A,Piper,PA-22-150 Tri-Pacer,PA22,22-3856,L1P,,,2024-04-30,1956-01-01
a5844b,N4547F,Piper,PA-28-181 Archer II,P28A,28-7790042,L1P,,,2022-06-30,1976-01-01
a58455,N4547R,Piper,PA-28-140 Cherokee,P28A,28-21253,L1P,,,2023-03-31,1965-01-01
a5845b,N4547X,Piper,PA-28-235 Cherokee Pathfinder,P28B,28-7610035,L1P,,,2022-01-31,1975-01-01
a58465,N45477,Piper,PA-18-150 Super Cub,PA18,18-8309003,L1P,,,2022-08-31,
a58469,N4548A,Piper,PA-22-150 Tri-Pacer,PA22,22-3857,L1P,,,2024-02-29,1956-01-01
a58493,N4549H,Piper,PA-15 Vagabond,PA15,15-323,L1P,,,2023-06-30,1948-01-01
a58497,N4549M,Piper,PA-11 Cub Special,PA11,11-49,L1P,,,2024-01-31,
a5849d,N4549T,Piper,PA-28R-200 Arrow,P28R,28R-7235086,L1P,,,2022-02-28,1972-01-01
a584a2,N4549Y,Piper,PA-18-150 Super Cub,PA18,18-8937,L1P,,,2023-03-31,1971-01-01
a58537,N455FL,Piper,PA-28-140 Cherokee,P28A,28-7125250,L1P,,,2023-11-30,1971-01-01
a5855e,N455H,Piper,PA-28-181 Archer II,P28A,28-43393,L1P,,,2023-02-28,2000-01-01
a5858c,N455JW,Piper,PA-42 Cheyenne III,PAY3,42-8001040,L2T,,,,
a585a9,N455L,Piper,PA-34-200 Seneca,PA34,34-7450172,L2P,,,2022-05-31,
a585b0,N455LG,Piper,PA-46-500TP Malibu Meridian,P46T,46-97203,L1T,,,2023-09-30,2005-01-01
a585c3,N455MA,Piper,PA-32R-301T Turbo Saratoga SP,P32R,32-57205,L1P,,,2023-12-31,2001-01-01
a585ce,N455MM,Piper,PA-31T-620 Cheyenne II,PAY2,31T-8020087,L2T,,,2022-08-31,1980-01-01
a58637,N455RS,Piper,PA-46-500TP Malibu Meridian,P46T,46-97214,L1T,,,2023-12-31,2005-01-01
a58646,N455SG,Piper,PA-46-500TP Malibu Meridian,P46T,46-97096,L1T,,,2024-01-31,2001-01-01
a58682,N455US,Piper,PA-34-200T Seneca II,PA34,34-8170003,L2P,,,2022-02-28,
a58708,N4550A,Piper,PA-22-150 Tri-Pacer,PA22,22-3860,L1P,,,2021-12-31,1956-01-01
a5870b,N4550D,Piper,PA-28-181 Archer II,P28A,28-8390041,L1P,,,2023-07-31,1983-01-01
a5870f,N4550H,Piper,PA-15 Vagabond,PA15,15-324,L1P,,,2022-06-30,
a58713,N4550M,Piper,PA-11 Cub Special,PA11,11-1009,L1P,,,2024-03-31,1949-01-01
a5871e,N4550Y,Piper,PA-25-235 Pawnee B,PA25,25-4201,L1P,,,2023-03-31,
a58727,N45507,Piper,PA-18-150 Super Cub,PA18,18-8566,L1P,,,2023-11-30,1967-01-01
a5872b,N4551A,Piper,PA-22-150 Tri-Pacer,PA22,22-3861,L1P,,,2022-09-30,1956-01-01
a58730,N4551F,Piper,PA-28-181 Archer II,P28A,28-7790044,L1P,,,2023-07-31,1976-01-01
a58732,N4551H,Piper,PA-15 Vagabond,PA15,15-325,L1P,,,2022-10-31,1948-01-01
a58740,N4551X,Piper,PA-28R-200 Arrow,P28R,28R-7635075,L1P,,,2024-01-31,1975-01-01
a5874e,N4552A,Piper,PA-22-150 Tri-Pacer,PA22,22-3862,L1P,,,2024-06-30,1956-01-01
a58755,N4552H,Piper,PA-15 Vagabond,PA15,15-326,L1P,,,2022-07-31,1948-01-01
a58756,N4552J,Piper,PA-28R-180 Arrow,P28R,28R-30413,L1P,,,2022-03-31,1968-01-01
a5875c,N4552Q,Piper,PA-28R-201T Turbo Arrow III,P28S,28R-7703127,L1P,,,2022-10-31,
a58763,N4552X,Piper,PA-32R-300 Lance,P32R,32R-7680027,L1P,,,2023-07-31,1975-01-01
a5876c,N45526,Piper,PA-18-150 Super Cub,PA18,18-8109035,L1P,,,2023-01-31,1982-01-01
a5877c,N4553M,Piper,PA-11 Cub Special,PA11,11-104,L1P,,,2024-01-31,1947-01-01
a58788,N4553Z,Piper,PA-22-108 Colt,PA22,22-8058,L1P,,,2022-10-31,1961-01-01
a5879b,N4554H,Piper,PA-15 Vagabond,PA15,15-327,L1P,,,2024-03-31,1948-01-01
a587a5,N4554T,Piper,PA-28-180 Cherokee,P28A,28-7205184,L1P,,,2024-05-31,1972-01-01
a587a9,N4554X,Piper,PA-28-181 Archer II,P28A,28-7690035,L1P,,,2023-04-30,1975-01-01
a587af,N45543,Piper,PA-18-150 Super Cub,PA18,18-8309014,L1P,,,2024-06-30,1983-01-01
a587b7,N4555A,Piper,PA-22-150 Tri-Pacer,PA22,22-3866,L1P,,,2022-12-31,1956-01-01
a587bc,N4555F,Piper,PA-28R-200 Arrow,P28R,28R-7635416,L1P,,,2024-07-31,1976-01-01
a587be,N4555H,Piper,PA-15 Vagabond,PA15,15-328,L1P,,,,1948-01-01
a587c6,N4555R,Piper,PA-28-140 Cherokee,P28A,28-21294,L1P,,,2023-09-30,1965-01-01
a587ce,N4555Z,Piper,PA-22-125 Tri-Pacer,PA22,22-8060,L1P,,,2021-10-31,1961-01-01
a587da,N4556A,Piper,PA-22-150 Tri-Pacer,PA22,22-3867,L1P,,,2022-01-31,1956-01-01
a587df,N4556F,Piper,PA-32-260 Cherokee Six,PA32,32-7600022,L1P,,,2024-05-31,1976-01-01
a587e1,N4556H,Piper,PA-15 Vagabond,PA15,15-331,L1P,,,2022-08-31,1948-01-01
a587e8,N4556Q,Piper,PA-32R-300 Lance,P32R,32R-7780333,L1P,,,2022-02-28,
a587fd,N4557A,Piper,PA-22-150 Tri-Pacer,PA22,22-3868,L1P,,,2024-04-30,1956-01-01
a58804,N4557H,Piper,PA-15 Vagabond,PA15,15-329,L1P,,,2024-01-31,1948-01-01
a58808,N4557M,Piper,PA-11 Cub Special,PA11,11-58,L1P,,,2024-03-31,1947-01-01
a5880c,N4557R,Piper,PA-28-140 Cherokee,P28A,28-21298,L1P,,,2024-01-31,1965-01-01
a5880e,N4557T,Piper,PA-28-140 Cherokee,P28A,28-7225188,L1P,,,2023-06-30,1972-01-01
a58812,N4557X,Piper,PA-32R-300 Lance,P32R,32R-7680028,L1P,,,2023-05-31,1975-01-01
a58814,N4557Z,Piper,PA-22-108 Colt,PA22,22-8064,L1P,,,2023-01-31,1961-01-01
a58828,N4558J,Piper,PA-28R-180 Arrow,P28R,28R-30418,L1P,,,2022-12-31,1968-01-01
a5882b,N4558M,Piper,PA-11 Cub Special,PA11,11-60,L1P,,,2022-03-31,1947-01-01
a5882d,N4558P,Piper,PA-23-250 Aztec,PA27,27-64,L2P,,,2023-10-31,1960-01-01
a5882f,N4558R,Piper,PA-28-140 Cherokee,P28A,28-21300,L1P,,,2021-10-31,1965-01-01
a5884a,N4559H,Piper,PA-15 Vagabond,PA15,15-333,L1P,,,2022-01-31,
a5884b,N4559J,Piper,PA-28R-180 Arrow,P28R,28R-30419,L1P,,,2023-07-31,1968-01-01
a58854,N4559T,Piper,PA-28-180 Cherokee,P28A,28-7205185,L1P,,,2023-08-31,1972-01-01
